frame,time_s,transfer_ratio,authority_gap,rate_clip_delta,jerk_clip_delta,hard_clip_delta,smoothing_delta,first_stage,entry_schedule_active,commit_active,entry_assist_active,turn_feas_active,turn_feas_infeasible,turn_feas_margin_g,turn_feas_speed_delta_mps
172,11.835,0.785174,0.128403,0.119313,0.950551,0.000000,0.002855,1.0,0,0,0,1,0,0.193846,0.000000
173,11.868,0.793924,0.128518,0.000000,0.125649,0.000000,0.002869,2.0,0,0,0,1,0,0.194858,0.000000
174,11.901,1.000000,0.000000,0.000000,0.294441,0.000000,0.002793,2.0,0,0,0,1,0,0.113830,0.000000
175,11.968,0.891685,0.069275,0.000000,0.063716,0.000000,0.005559,2.0,0,0,0,1,0,0.156637,0.000000
176,12.001,1.000000,0.000000,0.000000,0.033060,0.000000,0.003129,2.0,0,0,0,1,0,0.153246,0.000000
177,12.068,1.000000,0.000000,0.000000,0.052431,0.000000,0.005192,2.0,0,0,0,1,0,0.169614,0.000000
178,12.101,1.000000,0.000000,0.000000,0.094287,0.000000,0.002892,2.0,0,0,0,1,0,0.191427,0.000000
179,12.168,1.000000,0.000000,0.000000,0.197814,0.036543,0.001114,2.0,0,0,0,1,0,0.193627,0.000000
180,12.201,1.000000,0.000000,0.007480,0.265541,0.056692,0.000264,1.0,0,0,0,1,0,0.201320,0.000000
181,12.235,1.000000,0.000000,0.007480,0.374388,0.079194,0.000158,1.0,0,0,0,1,0,0.195602,0.000000
182,12.268,1.000000,0.000000,0.000000,0.137451,0.014145,0.008488,2.0,0,0,0,1,0,0.196129,0.000000
183,12.335,1.000000,0.000000,0.000000,0.179267,0.000000,0.005995,2.0,0,0,0,1,0,0.198797,0.000000
184,12.368,1.000000,0.000000,0.000000,0.370634,0.000506,0.002315,2.0,0,0,0,1,0,0.200013,0.000000
185,12.401,1.000000,0.000000,0.346567,0.466636,0.170216,0.015117,1.0,0,0,0,1,0,0.155201,0.000000
186,12.468,1.000000,0.000000,0.097671,0.441040,0.196720,0.001484,1.0,0,0,0,1,0,0.165191,0.000000
187,12.501,1.000000,0.000000,0.067161,0.393749,0.209592,0.000221,1.0,0,0,0,1,0,0.175585,0.000000
188,12.568,1.000000,0.000000,0.281750,0.469530,0.227401,0.000051,1.0,0,0,0,1,0,0.200284,0.000000
189,12.601,1.000000,0.000000,0.621858,0.502601,0.221835,0.001332,1.0,0,0,0,1,0,0.197767,0.000000
190,12.635,1.000000,0.000000,0.387407,0.823139,0.142206,0.008632,1.0,0,0,0,1,0,0.196942,0.000000
191,12.701,1.000000,0.000000,0.100135,0.803958,0.101620,0.005008,1.0,0,0,0,1,0,0.203542,0.000000
192,12.735,1.000000,0.000000,0.079959,0.822941,0.086847,0.001774,1.0,0,0,0,1,0,0.202677,0.000000
193,12.768,0.230862,0.495865,0.495865,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.204649,0.000000
194,12.835,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.207633,0.000000
195,12.868,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.179877,0.000000
196,12.901,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.199609,0.000000
197,12.968,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.208406,0.000000
198,13.001,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.212029,0.000000
199,13.035,0.952889,0.034443,0.000000,0.033549,0.000000,0.000894,2.0,0,0,0,1,0,0.218802,0.000000
200,13.068,0.948576,0.038109,0.395186,1.049557,0.000000,0.000701,1.0,0,0,0,1,0,0.218516,0.000000
201,13.101,0.987237,0.009175,0.000000,0.008427,0.000000,0.000748,2.0,0,0,0,1,0,0.215613,0.000000
202,13.135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
203,13.418,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
204,13.451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
205,13.551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
206,13.585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
207,13.618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
208,13.651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
209,13.685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
210,13.718,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
211,13.785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
212,13.818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
213,13.851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
214,13.918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
215,13.951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
216,13.985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
217,14.018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
218,14.051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
219,14.118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
220,14.151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
221,14.185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
222,14.218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
223,14.251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
224,14.285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
225,14.551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
226,14.585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
227,14.618,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
228,14.651,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
229,14.685,1.000000,0.000000,0.000000,0.455187,0.168424,0.000001,2.0,0,0,0,1,0,0.235000,0.000000
230,14.751,1.000000,0.000000,0.000000,0.479061,0.193004,0.000000,2.0,0,0,0,1,0,0.235000,0.000000
231,14.785,1.000000,0.000000,0.000000,0.489631,0.204018,0.000000,2.0,0,0,0,0,0,0.000000,0.000000
232,14.885,1.000000,0.000000,0.000000,0.510740,0.225311,0.000000,2.0,0,0,0,0,0,0.000000,0.000000
