frame,time_s,transfer_ratio,authority_gap,rate_clip_delta,jerk_clip_delta,hard_clip_delta,smoothing_delta,first_stage,entry_schedule_active,commit_active,entry_assist_active,turn_feas_active,turn_feas_infeasible,turn_feas_margin_g,turn_feas_speed_delta_mps
928,51.558,0.248538,0.125822,0.125822,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.091067,0.000000
929,51.591,0.986133,0.003802,0.003802,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.091532,0.000000
930,51.625,1.000000,0.000000,0.110523,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.077794,0.000000
931,51.691,1.000000,0.000000,0.105376,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.078908,0.000000
932,51.725,1.000000,0.000000,0.053053,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.086812,0.000000
933,51.791,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.084148,0.000000
934,51.825,0.980709,0.012071,0.012071,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.079418,0.000000
935,51.858,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.087866,0.000000
936,51.925,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.081833,0.000000
937,51.958,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.081738,0.000000
938,51.991,1.000000,0.000000,0.020793,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.079007,0.000000
939,52.025,1.000000,0.000000,0.012592,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.082776,0.000000
940,52.058,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.084914,0.000000
941,52.091,1.000000,0.000000,0.044301,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.094139,0.000000
942,52.341,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.082538,0.000000
943,52.374,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.090893,0.000000
944,52.408,1.000000,0.000000,0.064946,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.085520,0.000000
945,52.441,0.840160,0.017369,0.017369,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.082912,0.000000
946,52.474,0.298189,0.041840,0.041840,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.086285,0.000000
947,52.508,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.094195,0.000000
948,52.541,0.835467,0.040091,0.040091,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.093414,0.000000
949,52.574,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.090068,0.000000
950,52.608,1.000000,0.000000,0.010979,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.111166,0.000000
951,52.674,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.121101,0.000000
952,52.708,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.135912,0.000000
953,52.741,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.156268,0.000000
954,52.774,0.924429,0.057224,0.057224,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.168581,0.000000
955,52.808,0.909091,0.070000,0.070000,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.184416,0.000000
956,52.841,0.925926,0.056000,0.056000,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.191053,0.000000
957,53.074,0.909091,0.070000,0.070000,0.000000,0.000000,0.000000,1.0,0,0,0,1,0,0.185905,0.000000
958,53.108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
959,53.141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
960,53.208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
961,53.241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
962,53.308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
963,53.341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
964,53.374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
965,53.408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
966,53.474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
967,53.508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
968,53.608,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
969,53.641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
970,53.674,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
971,53.741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
972,53.774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
973,53.841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
974,53.874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
975,53.941,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
976,53.974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
977,54.008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
978,54.074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
979,54.108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
980,54.174,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
981,54.208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
982,54.241,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
983,54.308,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
984,54.341,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
985,54.374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
986,54.441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
987,54.474,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
988,54.508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
